com.samsung.shealth.preferences,6307003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2026-02-06 11:30:38.433,2025-10-26 20:36:42.043,1770377433179,,,,R5wtjjS0Fd,com.sec.android.app.shealth,,hsp.sync_time_exercise,
,,,2026-01-26 20:28:00.046,2025-10-26 20:36:42.320,1769459280039,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,hsp.sync_time_nutrition,
,tracker.exercise,,2026-02-06 03:01:08.985,2025-10-27 20:26:12.514,,,,50,R5wtjjS0Fd,com.sec.android.app.shealth,,34-exercise.last.rest.hr,
,,,2026-02-06 09:51:56.461,2025-10-27 22:38:35.768,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,vitality.oobe_seen,
{"1000":"CB_630_MoRe_1"},,,2025-11-01 17:47:22.502,2025-10-27 22:52:48.620,,,,,R5wtjjS0Fd,com.sec.android.app.shealth,,mow.last_exposed_card_ids,
,tracker.exercise,,2025-10-27 22:53:58.694,2025-10-27 22:53:58.751,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,34-during.audioGuide.enable,
,tracker.exercise,,2025-10-27 22:53:58.697,2025-10-27 22:53:58.759,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,34-0.autoPause.enable,
,tracker.exercise,,2025-10-28 00:04:31.730,2025-10-28 00:04:31.768,1761523200000,,,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-streak.initiation.date,
"{""a"":4,""b"":1761585371973,""c"":1769942342566,""d"":""360e9dda-43dd-4dd5-9414-be6f6e6f3cab""}",tracker.exercise,,2026-02-06 11:30:33.794,2025-10-28 00:04:31.984,,,,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-streak.week.info,
,,,2026-02-06 13:27:50.562,2025-10-28 01:49:45.968,,,sleep.watch_summary.blob_value.json,,R5wtjjS0Fd,com.sec.android.app.shealth,,sleep.watch_summary,
,tracker.sleep,,2025-10-28 14:51:40.876,2025-10-28 10:14:28.274,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,sleep_first_sleep_reward_not_shown,
,,,2025-10-28 14:51:20.687,2025-10-28 14:51:21.149,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,sc.tile_init_state,
,tracker.cycle,,2025-10-28 14:51:57.428,2025-10-28 14:51:57.428,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,37-skin-temperature-dialog-shown,
,tracker.sleep,,2025-11-03 13:00:48.871,2025-10-29 09:57:51.903,,,,0,Yrp2M34ZOI,com.sec.android.app.shealth,,sleep_excellent_reward_not_shown,
,tracker.vascular_load,,2025-10-30 09:30:04.224,2025-10-30 09:30:04.224,,,45-vascular.load.features.blob_value.json,,tWUO8ZL77Z,com.sec.android.app.shealth,,45-vascular.load.features,
,tracker.sleep,,2025-11-01 13:52:16.509,2025-11-01 11:40:34.828,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,sleep_good_reward_not_shown,
,,,2025-11-03 12:58:38.960,2025-11-03 12:58:38.988,1762174718960,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,sb.selected_time,
"{""1000"":""CB_630_WeRe_1"",""9999"":""SB_12""}",,,2026-02-01 16:08:51.743,2025-11-01 17:47:52.313,,,,,R5wtjjS0Fd,com.sec.android.app.shealth,,sb.last_exposed_card_ids,
,tracker.exercise,,2025-11-06 14:14:28.611,2025-11-06 14:14:25.828,,,,2,R5wtjjS0Fd,com.sec.android.app.shealth,,34-detection.location.running.option,
,tracker.exercise,,2025-11-06 14:14:27.718,2025-11-06 14:14:27.718,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,34-detection.location.running.enable,
,tracker.exercise,1922.0,2026-02-03 10:27:16.509,2025-11-06 16:02:45.343,,,,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-1002.cumulative.distance,
"{""vo2Max"":44.29,""vo2maxTimestamp"":1770219596839,""weight"":0}",tracker.exercise,,2026-02-04 15:39:56.556,2025-11-06 16:21:53.549,,,,,tWUO8ZL77Z,com.sec.android.app.shealth,,34-exercise.vo2max,
"{""data1_list"":[""DURATION"",""CALORIE"",""TIME""]}",tracker.exercise,,2026-01-03 04:00:07.841,2025-11-07 04:58:30.216,,,,,tWUO8ZL77Z,com.sec.android.app.shealth,,34-15002.workoutScreen,
,,,2025-11-25 14:37:07.394,2025-11-25 14:37:07.414,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,sc.symbol_trial_state,
,,,2025-11-25 14:37:43.689,2025-11-25 14:37:43.694,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,sleep_coaching.trial_state,
,tracker.exercise,,2025-12-14 22:52:22.242,2025-12-14 22:52:22.242,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,34-detection.elliptical.enable,
,tracker.exercise,,2025-12-14 22:52:23.325,2025-12-14 22:52:23.325,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,34-detection.rowing.enable,
,tracker.exercise,,2025-12-14 22:52:24.115,2025-12-14 22:52:24.115,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,34-detection.swimming.enable,
"{""data1_list"":[""DURATION"",""DISTANCE"",""STEPS""]}",tracker.exercise,,2026-01-11 20:51:16.395,2026-01-11 20:51:16.395,,,,,tWUO8ZL77Z,com.sec.android.app.shealth,,34-1001.workoutScreen,
