com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,34.06726,1160.6959,33.763527,2025-11-17 06:17:00.000,de589f09-3c8a-469e-9081-2f30537a20c3.binning_data.json,168,31301,,32.776375,2025-11-17 09:46:00.541,2025-11-17 09:46:00.541,,34.8085,34.74887,33.22889,,34.06726,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-17 09:17:00.000,de589f09-3c8a-469e-9081-2f30537a20c3,
,34.402493,1183.7699,33.80597,2025-11-18 01:52:00.000,a9a8a01e-a456-4923-a9ce-6a7fd4aa1c85.binning_data.json,492,31301,,32.92877,2025-11-18 10:48:54.322,2025-11-18 10:48:54.322,,34.75727,35.24645,33.111282,,34.402493,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-18 10:27:00.000,a9a8a01e-a456-4923-a9ce-6a7fd4aa1c85,
,33.49998,1122.665,33.940228,2025-11-19 04:54:00.000,9a8df6e3-6b25-4d6d-91ca-1ea35af702ec.binning_data.json,254,31301,,32.951584,2025-11-19 09:46:17.443,2025-11-19 09:46:17.443,,34.818417,34.762867,32.426304,,33.49998,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-19 09:22:00.000,9a8df6e3-6b25-4d6d-91ca-1ea35af702ec,
,34.208652,1170.662,33.917774,2025-11-20 01:41:00.000,2a9b5947-95b9-4fc6-b3df-454b9e49e2b2.binning_data.json,441,31301,,33.034336,2025-11-20 09:20:01.416,2025-11-20 09:20:01.416,,34.857155,35.63451,32.720882,,34.208652,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-20 09:19:00.000,2a9b5947-95b9-4fc6-b3df-454b9e49e2b2,
,33.14106,1099.2393,33.960842,2025-11-21 03:24:00.000,f939eda4-8638-4f87-a753-88a9ba682a07.binning_data.json,127,31301,,33.042088,2025-11-21 06:13:10.951,2025-11-21 06:13:10.951,,34.9922,34.680103,31.131126,,33.14106,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-21 05:47:00.000,f939eda4-8638-4f87-a753-88a9ba682a07,
,32.733192,1071.6921,33.918068,2025-11-21 06:13:00.000,ad205374-fa0e-4696-a756-b7a24559428c.binning_data.json,244,31301,,32.9321,2025-11-21 10:53:27.519,2025-11-21 10:53:27.519,,34.953186,34.14913,31.826033,,32.733192,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-21 10:30:00.000,ad205374-fa0e-4696-a756-b7a24559428c,
,33.79783,1142.7163,33.911037,2025-11-22 02:38:00.000,eb232e00-b729-4c19-adfc-cab1864e952d.binning_data.json,372,31301,,32.867702,2025-11-22 09:06:20.373,2025-11-22 09:06:20.373,,35.02953,35.062202,32.498695,,33.79783,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-22 09:06:00.000,eb232e00-b729-4c19-adfc-cab1864e952d,
,33.77836,1141.0145,33.894974,2025-11-22 09:05:00.000,1a025f67-97af-414a-9e25-3d49aadb021c.binning_data.json,10,31301,,32.821575,2025-11-22 09:48:58.477,2025-11-22 09:48:58.477,,35.033615,34.03896,33.50514,,33.77836,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-22 09:30:00.000,1a025f67-97af-414a-9e25-3d49aadb021c,
,33.463436,1119.9471,33.953117,2025-11-23 04:54:00.000,e93cd098-31bd-489c-bf1e-fbdfcc1cc884.binning_data.json,272,31301,,32.94658,2025-11-23 10:06:11.856,2025-11-23 10:06:11.856,,35.014835,34.088417,32.609455,,33.463436,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-23 09:42:00.000,e93cd098-31bd-489c-bf1e-fbdfcc1cc884,
,34.166565,1168.0653,33.813095,2025-11-24 01:37:00.000,9fa71704-082a-4612-821a-35c78b559a51.binning_data.json,314,31301,,32.69455,2025-11-24 07:34:32.104,2025-11-24 07:34:32.104,,34.72011,35.695335,32.18076,,34.166565,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-24 07:11:00.000,9fa71704-082a-4612-821a-35c78b559a51,
,33.788998,1142.241,33.853035,2025-11-24 07:43:00.000,565187cf-cee4-4b6c-9205-51d378beddba.binning_data.json,111,31301,,32.66889,2025-11-24 10:17:08.709,2025-11-24 10:17:08.709,,34.810352,34.965103,32.41787,,33.788998,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-24 09:55:00.000,565187cf-cee4-4b6c-9205-51d378beddba,
,33.864166,1147.8574,33.829487,2025-11-25 04:00:00.000,e22858fe-58a9-4be5-b336-39da6eff0023.binning_data.json,341,31301,,32.47391,2025-11-25 10:26:16.233,2025-11-25 10:26:16.233,,34.823597,35.1922,31.173027,,33.864166,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-25 09:58:00.000,e22858fe-58a9-4be5-b336-39da6eff0023,
,33.576042,1128.1641,33.720844,2025-11-26 01:53:00.000,d70a3567-8636-4efd-994d-44edcb5f60de.binning_data.json,368,31301,,32.23163,2025-11-26 08:42:30.790,2025-11-26 08:42:30.790,,34.81682,35.11162,31.873877,,33.576042,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-26 08:16:00.000,d70a3567-8636-4efd-994d-44edcb5f60de,
,34.363106,1180.9441,33.721924,2025-11-27 05:36:00.000,1ff901c6-c82a-46a5-b1f8-f5a9e1ffa340.binning_data.json,159,31301,,32.16257,2025-11-27 08:58:00.786,2025-11-27 08:58:00.786,,34.86041,34.836884,33.709896,,34.363106,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-27 08:35:00.000,1ff901c6-c82a-46a5-b1f8-f5a9e1ffa340,
,33.825394,1144.1678,33.758877,2025-11-27 09:04:00.000,7165b614-08a7-44e2-aecd-dc15df3d7331.binning_data.json,82,31301,,32.30394,2025-11-27 11:06:33.227,2025-11-27 11:06:33.227,,34.856747,34.063416,33.700928,,33.825394,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-27 10:40:00.000,7165b614-08a7-44e2-aecd-dc15df3d7331,
,33.510128,1123.7037,33.6785,2025-11-28 03:56:00.000,c13fd05a-a776-4912-b398-f7a2bf3456d9.binning_data.json,350,31301,,32.415977,2025-11-28 10:28:39.968,2025-11-28 10:28:39.968,,34.699062,34.695972,30.971786,,33.510128,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-28 10:07:00.000,c13fd05a-a776-4912-b398-f7a2bf3456d9,
