com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-11-28 19:07:06.675,,2025-11-28 23:34:12.400,2025-11-28 23:34:12.400,,,1.0,0f432a52-ec2f-4797-a275-892e91f77d63.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-28 23:33:52.999,0f432a52-ec2f-4797-a275-892e91f77d63,
2025-11-29 03:00:00.000,,2025-11-30 00:56:19.427,2025-11-30 00:56:19.427,,,1.0,a05a1017-57e1-4b0c-ad12-bd74c7273bb5.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-30 00:54:42.000,a05a1017-57e1-4b0c-ad12-bd74c7273bb5,
2025-11-30 03:00:00.000,,2025-11-30 12:19:39.563,2025-11-30 12:19:39.563,,,1.0,050e33a5-4540-46cc-8174-c6becf063ee7.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-30 12:19:14.001,050e33a5-4540-46cc-8174-c6becf063ee7,
2025-12-02 03:00:00.214,,2025-12-02 10:40:21.880,2025-12-02 10:40:21.880,,,1.0,d3d637c7-a5d6-430a-a55d-2e6d783b4533.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-02 10:39:31.000,d3d637c7-a5d6-430a-a55d-2e6d783b4533,
2025-12-02 10:39:21.270,,2025-12-02 11:27:12.310,2025-12-02 11:27:12.310,,,1.0,c95f8443-0df3-41dc-8f7a-40303e961d81.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-02 11:25:28.000,c95f8443-0df3-41dc-8f7a-40303e961d81,
2025-12-02 11:25:21.722,,2025-12-03 00:02:00.368,2025-12-03 00:02:00.368,,,1.0,05689418-9368-4531-b781-3afb42ed35b0.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-03 00:00:44.000,05689418-9368-4531-b781-3afb42ed35b0,
2025-12-03 03:00:00.157,,2025-12-03 13:52:30.415,2025-12-03 13:52:30.415,,,1.0,b4d8b87d-443c-49b6-bf18-9468d83f1e53.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-03 13:50:23.999,b4d8b87d-443c-49b6-bf18-9468d83f1e53,
2025-12-03 13:50:24.000,,2025-12-03 14:17:32.029,2025-12-03 14:17:32.029,,,1.0,d1715887-047a-4e0c-bc42-2767a28a555f.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-03 14:15:07.000,d1715887-047a-4e0c-bc42-2767a28a555f,
2025-12-06 03:00:00.252,,2025-12-06 12:03:29.057,2025-12-06 12:03:29.057,,,1.0,dfb2ac45-68f7-47a8-9a2d-f8d89e00b313.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-06 12:02:05.000,dfb2ac45-68f7-47a8-9a2d-f8d89e00b313,
2025-12-07 03:00:00.318,,2025-12-07 10:53:23.975,2025-12-07 10:53:23.975,,,1.0,31726715-2818-404a-81c3-8f54da6a7027.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-12-07 10:52:13.000,31726715-2818-404a-81c3-8f54da6a7027,
