com.samsung.health.respiratory_rate,6307003,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
63060051,2025-11-24 01:37:00.000,,f2146691-0f54-4f56-839b-92a6135a3fd5.binning_data.json,63060051,11.28535,11.222014,2025-11-24 07:34:32.156,2025-11-24 07:34:32.156,,11.583795,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-24 07:11:00.000,f2146691-0f54-4f56-839b-92a6135a3fd5,
63060051,2025-11-24 07:43:00.000,,74783a16-7301-45df-9d9c-40c902e9af47.binning_data.json,63060051,11.671105,11.19714,2025-11-24 10:17:08.565,2025-11-24 10:17:08.565,,11.599707,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-24 09:55:00.000,74783a16-7301-45df-9d9c-40c902e9af47,
63060051,2025-11-25 04:00:00.000,,acba8c87-c26b-4773-a4bf-c69ece580f46.binning_data.json,63060051,11.347011,11.206172,2025-11-25 10:26:16.128,2025-11-25 10:26:16.128,,11.54366,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-25 09:58:00.000,acba8c87-c26b-4773-a4bf-c69ece580f46,
63060051,2025-11-26 01:53:00.000,,1450d117-803b-432d-b84f-b15193a65bde.binning_data.json,63060051,11.166651,11.173206,2025-11-26 08:42:27.583,2025-11-26 08:42:27.583,,11.526808,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-26 08:16:00.000,1450d117-803b-432d-b84f-b15193a65bde,
63060051,2025-11-24 07:43:00.000,,0f7c45ea-f7aa-4b81-9754-103f343153bc.binning_data.json,63060051,13.616075,10.567305,2025-11-27 01:23:26.722,2025-11-27 01:23:26.722,,12.261065,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-24 09:55:00.000,0f7c45ea-f7aa-4b81-9754-103f343153bc,
63060051,2025-11-27 05:36:00.000,,3ec52db8-e3bd-4a53-b3af-1409f1d10a7f.binning_data.json,63060051,10.989697,11.426599,2025-11-27 08:58:00.768,2025-11-27 08:58:00.768,,11.631001,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-27 08:35:00.000,3ec52db8-e3bd-4a53-b3af-1409f1d10a7f,
63060051,2025-11-27 09:04:00.000,,b6e2de83-415e-4d96-b015-3e98c5baf0f5.binning_data.json,63060051,10.907749,11.426599,2025-11-27 11:06:33.290,2025-11-27 11:06:33.290,,11.631001,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-27 10:40:00.000,b6e2de83-415e-4d96-b015-3e98c5baf0f5,
63060051,2025-11-28 03:56:00.000,,8995f929-81aa-4e11-b5fa-4c1c23333493.binning_data.json,63060051,10.74728,11.426599,2025-11-28 10:28:39.586,2025-11-28 10:28:39.586,,11.631001,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-28 10:07:00.000,8995f929-81aa-4e11-b5fa-4c1c23333493,
63060051,2025-11-29 04:03:00.000,,19dcb4bc-912f-416d-9a90-a29de86fecc1.binning_data.json,63060051,11.587192,11.426599,2025-11-29 09:34:18.633,2025-11-29 09:34:18.633,,11.631001,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-29 09:12:00.000,19dcb4bc-912f-416d-9a90-a29de86fecc1,
63060051,2025-12-01 02:45:00.000,,8cbc5960-d65f-46b5-bf00-920f85e90ccc.binning_data.json,63060051,11.431478,11.221598,2025-12-01 10:10:25.572,2025-12-01 10:10:25.572,,11.626051,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-01 09:49:00.000,8cbc5960-d65f-46b5-bf00-920f85e90ccc,
63060051,2025-12-02 04:14:00.000,,592d3a76-0c11-4ccb-881e-ed3cef0fe97b.binning_data.json,63060051,11.4536295,11.200919,2025-12-02 08:06:54.666,2025-12-02 08:06:54.666,,11.643321,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-02 07:44:00.000,592d3a76-0c11-4ccb-881e-ed3cef0fe97b,
63060051,2025-12-02 08:09:00.000,,7ac54a75-609f-46b9-be24-c7e21e8fd44e.binning_data.json,63060051,11.474855,11.216801,2025-12-02 09:48:25.873,2025-12-02 09:48:25.873,,11.6203575,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-02 09:48:00.000,7ac54a75-609f-46b9-be24-c7e21e8fd44e,
63060051,2025-12-03 02:25:00.000,,c2ba4e48-b9db-409c-8e2a-00f1058808ba.binning_data.json,63060051,11.394457,11.216801,2025-12-03 10:07:27.133,2025-12-03 10:07:27.133,,11.6203575,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-03 09:45:00.000,c2ba4e48-b9db-409c-8e2a-00f1058808ba,
63060051,2025-12-02 08:09:00.000,,72a04d62-63f7-489d-bfaf-5016d9f125f2.binning_data.json,63060051,14.734459,11.216801,2025-12-03 10:51:32.838,2025-12-03 10:51:32.838,,11.6203575,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-02 09:48:00.000,72a04d62-63f7-489d-bfaf-5016d9f125f2,
63060051,2025-12-04 03:07:00.000,,df3fb74b-6ff7-46d6-8198-84862fce0a73.binning_data.json,63060051,11.419636,11.216801,2025-12-04 09:49:35.976,2025-12-04 09:49:35.976,,11.6203575,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-04 09:34:00.000,df3fb74b-6ff7-46d6-8198-84862fce0a73,
63060051,2025-12-04 09:58:00.000,,512f1283-9742-4aa8-8435-f4dc4178b17a.binning_data.json,63060051,13.478533,11.216801,2025-12-04 11:05:18.981,2025-12-04 11:05:18.981,,11.6203575,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-04 10:42:00.000,512f1283-9742-4aa8-8435-f4dc4178b17a,
63060051,2025-12-06 04:24:00.000,,276a5767-8cfa-4d71-a0e5-51d41c2196ac.binning_data.json,63060051,11.729706,11.167849,2025-12-06 06:15:41.977,2025-12-06 06:15:41.977,,11.561604,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-06 05:48:00.000,276a5767-8cfa-4d71-a0e5-51d41c2196ac,
63060051,2025-12-06 06:12:00.000,,4aed4aa7-d1eb-4ed9-b464-43f8ce72f944.binning_data.json,63060051,11.588048,11.167849,2025-12-06 11:46:47.191,2025-12-06 11:46:47.191,,11.561604,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-06 11:23:00.000,4aed4aa7-d1eb-4ed9-b464-43f8ce72f944,
63060051,2025-12-02 08:09:00.000,,54832aa0-431a-409e-aad1-58384a8f4233.binning_data.json,63060051,13.704273,11.167849,2025-12-06 16:53:34.316,2025-12-06 16:53:34.316,,11.561604,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-12-02 09:48:00.000,54832aa0-431a-409e-aad1-58384a8f4233,
